Travelling Salesman
65
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
48 49 1
49 50 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
59 60 1
60 61 1
61 62 1
62 63 1
63 64 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
48 49 1
49 50 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
59 60 1
60 61 1
61 62 1
62 63 1
63 64 1
65 1 1
1 65 1
65 2 1
2 65 1
65 3 1
3 65 1
65 4 1
4 65 1
65 5 1
5 65 1
65 6 1
6 65 1
65 7 1
7 65 1
65 8 1
8 65 1
65 9 1
9 65 1
65 10 1
10 65 1
65 11 1
11 65 1
65 12 1
12 65 1
65 13 1
13 65 1
65 14 1
14 65 1
65 15 1
15 65 1
65 16 1
16 65 1
65 17 1
17 65 1
65 18 1
18 65 1
65 19 1
19 65 1
65 20 1
20 65 1
65 21 1
21 65 1
65 22 1
22 65 1
65 23 1
23 65 1
65 24 1
24 65 1
65 25 1
25 65 1
65 26 1
26 65 1
65 27 1
27 65 1
65 28 1
28 65 1
65 29 1
29 65 1
65 30 1
30 65 1
65 31 1
31 65 1
65 32 1
32 65 1
65 33 1
33 65 1
65 34 1
34 65 1
65 35 1
35 65 1
65 36 1
36 65 1
65 37 1
37 65 1
65 38 1
38 65 1
65 39 1
39 65 1
65 40 1
40 65 1
65 41 1
41 65 1
65 42 1
42 65 1
65 43 1
43 65 1
65 44 1
44 65 1
65 45 1
45 65 1
65 46 1
46 65 1
65 47 1
47 65 1
65 48 1
48 65 1
65 49 1
49 65 1
65 50 1
50 65 1
65 51 1
51 65 1
65 52 1
52 65 1
65 53 1
53 65 1
65 54 1
54 65 1
65 55 1
55 65 1
65 56 1
56 65 1
65 57 1
57 65 1
65 58 1
58 65 1
65 59 1
59 65 1
65 60 1
60 65 1
65 61 1
61 65 1
65 62 1
62 65 1
65 63 1
63 65 1
65 64 1
64 65 1
$
